Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
dark (161).png_flip_v,Dark,384.3943774606299,784.2564325128649,420.51580954724415,790.7479074958151,0.3320780231464675,0.2514130047655889,0.32205188476208985,0.25943766159060544,7.133673720472441,11.389794779589558,7.652005413385828,11.547709095418192,6.270604345587901,6.534912800916713,6.2913009383649445,6.56183730426946,0.007251019323815992,0.0057407717270639425,0.0073437773218319865,0.005707651690583931,0.08515291729480554,0.07576788057656056,0.0856958419168164,0.07554900191653051,0.9805206323622098,0.9604799285430766,0.9786858180528621,0.9601529360291259
dark (161).png_rot,Dark,365.88109005905517,665.9308698617397,371.36085137795277,657.4064728129457,0.6330796531947149,0.6109792266874682,0.6345323988914452,0.6216104080262324,6.780942421259843,8.311674623349248,6.881028543307085,7.880401760803522,3.774947296917059,3.951073081920821,3.785985390496858,3.9116182050671675,0.25017964482950444,0.24216396600689544,0.2516748377612966,0.24644558793736596,0.5001796125688296,0.4921015809839422,0.501672042036724,0.4964328634743735,0.9836646813888358,0.970369589008748,0.9834202973107372,0.9707488797120921
dark (161).png_scale,Dark,385.19974163385837,790.2692665385331,417.6863927165355,780.7023994047988,0.33374305454524344,0.25879956854497216,0.3269791069907776,0.2558731394920709,7.118417814960631,11.549073098146197,7.602362204724411,11.33492466984934,6.26766091957896,6.559472824880176,6.280684402541952,6.523228910306601,0.0071662440688162665,0.005654014222034272,0.0074116940226068,0.005710029214094015,0.08465367132508941,0.0751931793584649,0.08609119596455145,0.07556473525457504,0.980511076894441,0.9602401767564259,0.9788631962994041,0.960721403816675
dark (162).png,Dark,399.56293061023626,902.982453964908,528.1106053149606,691.8366916733834,0.5308431057250343,0.4349528216256412,0.5155357595828305,0.45012506954384973,6.904958169291338,11.523963047926097,8.273991141732283,10.016740033480069,5.888999086348834,6.267566727391925,5.971891015315121,6.189949846613995,0.011053383923174098,0.008518032474095825,0.011395578516254688,0.008811313549218953,0.10513507465719563,0.09229318758226863,0.10675007501756001,0.09386859724752977,0.9735674446900467,0.940570581428557,0.9650640033948091,0.9544670528735016
dark (162).png_flip_h,Dark,392.06286909448824,668.7128154256309,518.4063730314961,902.5615351230704,0.5290222994833781,0.4424194995869958,0.5127704713349519,0.4308177023739594,6.9323326771653555,9.95492590985182,8.213705708661418,11.548577097154194,5.917478674752079,6.223089566955338,5.990969138616289,6.290105240332581,0.010315370911503547,0.008058588068320039,0.01045766013651168,0.007892516994036404,0.10156461446539118,0.0897696389004659,0.10226270159012854,0.08883983900276049,0.9740759261045081,0.9560104763076028,0.9657222559965085,0.940627349861881
dark (162).png_flip_v,Dark,397.2714074803149,679.5178870357742,518.3070250984252,894.047988095976,0.531725528909497,0.44873428588105746,0.513735427279358,0.43354233810164483,6.859744094488189,9.958335916671835,8.239849901574804,11.410006820013638,5.858053191751823,6.164667590542207,5.947039284335307,6.238645466324657,0.010834338135961429,0.008659340401326968,0.011111240362129161,0.008317140386528274,0.10408812677707976,0.0930555769490844,0.10540986842857343,0.09119835736748921,0.9736520564723888,0.9551637008391266,0.9656249827862401,0.9410084652321481
dark (162).png_rot,Dark,716.5287893700788,1163.6752433504867,807.2778051181103,1073.724843449687,0.700861413973451,0.6890052172065713,0.6985261344694635,0.700459684383014,7.7310531496063,10.189348378696758,8.359128937007876,9.060078120156241,3.77079946332511,3.9349153230296974,3.80012065107531,3.8820215973367542,0.23144528790278288,0.2222108872886604,0.23104484331527264,0.2268295736293872,0.48108760938396955,0.4713924981251403,0.4806712424467191,0.47626628437187024,0.9707450971665851,0.9525921464951647,0.9670372284996698,0.9562567044597394
dark (162).png_scale,Dark,399.56293061023626,902.982453964908,528.1106053149606,691.8366916733834,0.5308431057250343,0.4349528216256412,0.5155357595828305,0.45012506954384973,6.904958169291338,11.523963047926097,8.273991141732283,10.016740033480069,5.888999086348834,6.267566727391925,5.971891015315121,6.189949846613995,0.011053383923174098,0.008518032474095825,0.011395578516254688,0.008811313549218953,0.10513507465719563,0.09229318758226863,0.10675007501756001,0.09386859724752977,0.9735674446900467,0.940570581428557,0.9650640033948091,0.9544670528735016
dark (163).png,Dark,168.03531003937007,289.9499658999317,111.15692667322834,242.30621861243725,0.3691628759968671,0.3042423472807037,0.4144132473488961,0.3090837574714621,5.871432086614173,8.047058094116187,4.545706200787402,7.381548763097526,6.20705784858654,6.421660529292396,6.037865593093117,6.395471492558682,0.005910202311127278,0.004873857847411893,0.00661728716035557,0.004766994219957812,0.07687784018250823,0.06981302061515382,0.08134670958530266,0.06904342271323034,0.9881431050291034,0.9796586251588165,0.992141569919522,0.9830009442359051
dark (163).png_flip_h,Dark,168.9609375,243.7182094364189,113.28444881889766,293.6010292020584,0.3640570249982953,0.3045531510059443,0.41159753491680423,0.3013356669770326,5.868663877952756,7.407216814433629,4.598179133858268,8.081778163556327,6.209181815222527,6.398881914459393,6.045447206366886,6.421318141694343,0.0058500583309760365,0.0047233281272936155,0.006596360604830585,0.004877461611826938,0.07648567402446053,0.0687264732639004,0.08121798202880065,0.06983882596254706,0.9880698678535322,0.9828911561800389,0.9919861762819774,0.9793895820280812
dark (163).png_flip_v,Dark,169.22447096456693,244.40374480748963,114.93928395669289,295.6251472502945,0.37073737312152466,0.30703240567965007,0.4074315197295884,0.3025902271350641,5.866326279527559,7.407030814061628,4.650406003937007,8.127596255192511,6.243984253035806,6.42949953492801,6.079175906311309,6.460381315380329,0.005737938538865359,0.004578537522131774,0.006299159998222339,0.004673601944389082,0.0757491817702697,0.06766489135535336,0.07936724764172146,0.06836374729627598,0.9880426972011912,0.9828380259133102,0.9918669158893758,0.9792414360819276
